RIN,Geolocation,zip,long_lat,TigerLineID,Tract,Block
142209,"8900 N IH 35 SVRD SB, Austin, TX, ,",,,,,
142228,"203 E 10TH ST, Austin, TX, ,",,,,,
142229,"E 6TH ST / NECHES ST, Austin, TX, ,",,,,,
142230,"8900 N IH 35 SVRD SB, Austin, TX, ,",,,,,
142231,"E RUNDBERG LN / GEORGIAN DR, Austin, TX, ,",,,,,
142248,"300 E 6TH ST, Austin, TX, ,",,,,,
142249,"E RUNDBERG LN / GEORGIAN DR, Austin, TX, ,",,,,,
142269,"AUSTIN PARK LN / GEMINI DR, Austin, TX, ,",,,,,
142270,"10602 BROWNIE DR, Austin, TX, ,","10602 BROWNIE DR, AUSTIN, TX, 78753","-97.68233,30.370993",63934254,1823,2010
142288,"500 E 7TH ST, Austin, TX, ,",,,,,
142308,"2900 SUNRIDGE DR, Austin, TX, ,","2900 SUNRIDGE DR, AUSTIN, TX, 78741","-97.72626,30.220322",63965762,2313,1001
142309,"2900 SUNRIDGE DR, Austin, TX, ,","2900 SUNRIDGE DR, AUSTIN, TX, 78741","-97.72626,30.220322",63965762,2313,1001
142310,"1030 NORWOOD PARK BLVD, Austin, TX, ,","1030 NORWOOD PARK BLVD, AUSTIN, TX, 78753","-97.69347,30.339966",64123786,1813,2022
142311,"4320 S CONGRESS AVE, Austin, TX, ,",,,,,
142312,"811 KING EDWARD PL, Austin, TX, ,","811 KING EDWARD PL, AUSTIN, TX, 78745","-97.78942,30.19967",63949368,2410,2013
142313,"6301 BERKMAN DR, Austin, TX, ,","6301 BERKMAN DR, AUSTIN, TX, 78723","-97.690865,30.31685",63932791,2112,1007
142314,"6700 MANOR RD, Austin, TX, ,","6700 MANOR RD, AUSTIN, TX, 78723","-97.667046,30.310177",63935204,2113,1015
142315,"500 E 7TH ST, Austin, TX, ,",,,,,
142316,"501 E BEN WHITE BLVD SVRD EB, Austin, TX, ,",,,,,
142317,"1200 BLOCK SALINA ST, Austin, TX, ,","1200 SALINA ST, AUSTIN, TX, 78702","-97.7209,30.273731",63946982,803,3031
142319,"500 E 6TH ST, Austin, TX, ,",,,,,
142320,"721 LAMAR PL, Austin, TX, ,",,,,,
142321,"721 LAMAR PL, Austin, TX, ,",,,,,
142328,"6301 BERKMAN DR, Austin, TX, ,","6301 BERKMAN DR, AUSTIN, TX, 78723","-97.690865,30.31685",63932791,2112,1007
142329,"6301 BERKMAN DR, Austin, TX, ,","6301 BERKMAN DR, AUSTIN, TX, 78723","-97.690865,30.31685",63932791,2112,1007
142330,"1500 ROYAL CREST DR, Austin, TX, ,","1500 ROYAL CREST DR, AUSTIN, TX, 78741","-97.729576,30.240824",63948494,2316,1001
142331,"6700 MANOR RD, Austin, TX, ,","6700 MANOR RD, AUSTIN, TX, 78723","-97.667046,30.310177",63935204,2113,1015
142332,"4320 S CONGRESS AVE, Austin, TX, ,",,,,,
142333,"4501 GUADALUPE ST, Austin, TX, ,","4501 GUADALUPE ST, AUSTIN, TX, 78751","-97.73301,30.31087",63931547,203,1012
142334,"1200 BLOCK SALINA ST, Austin, TX, ,","1200 SALINA ST, AUSTIN, TX, 78702","-97.7209,30.273731",63946982,803,3031
142335,"721 LAMAR PL, Austin, TX, ,",,,,,
142337,"E 6TH ST / TRINITY ST, Austin, TX, ,",,,,,
142338,"E 6TH ST / TRINITY ST, Austin, TX, ,",,,,,
142339,"E 6TH ST / TRINITY ST, Austin, TX, ,",,,,,
142340,"E 6TH ST / TRINITY ST, Austin, TX, ,",,,,,
142341,"1905 E 12TH ST, Austin, TX, ,","1905 E 12TH ST, AUSTIN, TX, 78702","-97.71979,30.273796",63946992,804,1003
142342,"9604 CARSON CREEK BLVD, Austin, TX, ,",,,,,
142343,"2616 EKTOM DR, Austin, TX, ,","2616 EKTOM DR, AUSTIN, TX, 78745","-97.80344,30.223213",64003191,1712,2001
142348,"2300 ED BLUESTEIN BLVD NB, Austin, TX, ,","2300 ED BLUESTEIN BLVD, AUSTIN, TX, 78723","-97.67477,30.260487",641678509,2111,3015
142368,"10500 LARK CT, Austin, TX, ,","10500 LARK CT, AUSTIN, TX, 78758","-97.698364,30.377174",63930676,1822,2006
142369,"5510 S IH 35 SVRD SB, Austin, TX, ,",,,,,
142370,"1200 BLOCK SALINA ST, Austin, TX, ,","1200 SALINA ST, AUSTIN, TX, 78702","-97.7209,30.273731",63946982,803,3031
142388,"BELMOOR DR / DEXMOOR DR, Austin, TX, ,",,,,,
142389,"BELMOOR DR / DEXMOOR DR, Austin, TX, ,",,,,,
142391,"2600 BLOCK SANTA ROSA ST, Austin, TX, ,","2600 SANTA ROSA ST, AUSTIN, TX, 78702","-97.71381,30.257006",63948889,902,3001
142392,"9604 CARSON CREEK BLVD, Austin, TX, ,",,,,,
142393,"4415 BUCKS RUN, Austin, TX, ,","4415 BUCKS RUN, AUSTIN, TX, 78744","-97.75652,30.18066",63950242,2427,1009
142394,"505 E 6TH ST, Austin, TX, ,",,,,,
142408,"1905 E 12TH ST, Austin, TX, ,","1905 E 12TH ST, AUSTIN, TX, 78702","-97.71979,30.273796",63946992,804,1003
142428,"9200 NORTH PLZ, Austin, TX, ,","9200 NORTH PLZ, AUSTIN, TX, 78753","-97.685135,30.355047",642470594,1813,1024
142429,"6301 BERKMAN DR, Austin, TX, ,","6301 BERKMAN DR, AUSTIN, TX, 78723","-97.690865,30.31685",63932791,2112,1007
142430,"9345 E US 290 HWY EB, Austin, TX, ,",,,,,
142431,"9345 E US 290 HWY EB, Austin, TX, ,",,,,,
142432,"505 E 6TH ST, Austin, TX, ,",,,,,
142434,"2616 EKTOM DR, Austin, TX, ,","2616 EKTOM DR, AUSTIN, TX, 78745","-97.80344,30.223213",64003191,1712,2001
142448,"300 E 6TH ST, Austin, TX, ,",,,,,
142468,"4000 BLOCK SHOAL CREEK BLVD, Austin, TX, ,","4000 SHOAL CREEK BLVD, AUSTIN, TX, 78756","-97.748375,30.311283",63929561,204,2000
142508,"1030 NORWOOD PARK BLVD, Austin, TX, ,","1030 NORWOOD PARK BLVD, AUSTIN, TX, 78753","-97.69347,30.339966",64123786,1813,2022
142528,"1905 E 12TH ST, Austin, TX, ,","1905 E 12TH ST, AUSTIN, TX, 78702","-97.71979,30.273796",63946992,804,1003
142529,"306 BRAMBLE DR, Austin, TX, ,","306 BRAMBLE DR, AUSTIN, TX, 78745","-97.77795,30.205463",63949608,2402,2003
142530,"400 BLOCK E 8TH ST, Austin, TX, ,","400 E 8TH ST, AUSTIN, TX, 78701","-97.738525,30.26891",63946487,1100,1062
142531,"400 BLOCK E 8TH ST, Austin, TX, ,","400 E 8TH ST, AUSTIN, TX, 78701","-97.738525,30.26891",63946487,1100,1062
142532,"300 BLOCK E 6TH ST, Austin, TX, ,","300 E 6TH ST, AUSTIN, TX, 78701","-97.74029,30.267374",63946490,1100,1095
142533,"300 BLOCK E 6TH ST, Austin, TX, ,","300 E 6TH ST, AUSTIN, TX, 78701","-97.74029,30.267374",63946490,1100,1095
142534,"300 BLOCK E 6TH ST, Austin, TX, ,","300 E 6TH ST, AUSTIN, TX, 78701","-97.74029,30.267374",63946490,1100,1095
142535,"710 E BEN WHITE BLVD SVRD WB, Austin, TX, ,",,,,,
142536,"309 E 6TH ST, Austin, TX, ,",,,,,
142548,"309 E 6TH ST, Austin, TX, ,",,,,,
142549,"600 W WILLIAM CANNON DR, Austin, TX, ,","600 WILLIAM CANNON DR, AUSTIN, TX, 78745","-97.77422,30.191727",63949669,2402,4014
142550,"600 W WILLIAM CANNON DR, Austin, TX, ,","600 WILLIAM CANNON DR, AUSTIN, TX, 78745","-97.77422,30.191727",63949669,2402,4014
142551,"8900 N IH 35 SVRD SB, Austin, TX, ,",,,,,
142552,"8900 N IH 35 SVRD SB, Austin, TX, ,",,,,,
142553,"1124 RUTLAND DR, Austin, TX, ,","1124 RUTLAND DR, AUSTIN, TX, 78758","-97.702675,30.36794",63930566,1822,4002
142554,"8403 MARTIN CT, Austin, TX, ,","8403 MARTIN CT, AUSTIN, TX, 78758","-97.70749,30.353647",63932034,1805,1009
142568,"1900 E 12TH ST, Austin, TX, ,","1900 E 12TH ST, AUSTIN, TX, 78702","-97.719826,30.273802",63946992,803,2016
142569,"400 BLOCK E 8TH ST, Austin, TX, ,","400 E 8TH ST, AUSTIN, TX, 78701","-97.738525,30.26891",63946487,1100,1062
142571,"1137 NICKOLS AVE, Austin, TX, ,","1137 NICKOLS AVE, AUSTIN, TX, 78721","-97.68542,30.27561",63951547,2110,1018
142572,"MAGIN MEADOW DR / DEEP LN, Austin, TX, ,",,,,,
142573,"9300 S IH 35 SVRD SB, Austin, TX, ,",,,,,
142574,"9414 N LAMAR BLVD, Austin, TX, ,",,,,,
142575,"9414 N LAMAR BLVD, Austin, TX, ,",,,,,
142576,"6010 E RIVERSIDE DR, Austin, TX, ,",,,,,
142588,"BURTON DR / E OLTORF ST, Austin, TX, ,",,,,,
142589,"1137 NICKOLS AVE, Austin, TX, ,","1137 NICKOLS AVE, AUSTIN, TX, 78721","-97.68542,30.27561",63951547,2110,1018
142629,"1200 BLOCK SALINA ST, Austin, TX, ,","1200 SALINA ST, AUSTIN, TX, 78702","-97.7209,30.273731",63946982,803,3031
142630,"9414 N LAMAR BLVD, Austin, TX, ,",,,,,
142631,"2501 LEON ST, Austin, TX, ,","2501 LEON ST, AUSTIN, TX, 78705","-97.7492,30.289612",63942573,603,2004
142632,"1119 W 9TH ST, Austin, TX, ,",,,,,
142633,"6575 DECKER LN, Austin, TX, ,","6575 DECKER LN, AUSTIN, TX, 78724","-97.62822,30.290825",63952309,2211,1000
142634,"12001 METRIC BLVD, Austin, TX, ,","12001 METRIC BLVD, AUSTIN, TX, 78758","-97.70195,30.401983",641676321,1844,1001
142635,"2250 RIDGEPOINT DR, Austin, TX, ,","2250 RIDGEPOINT DR, AUSTIN, TX, 78754","-97.6767,30.329437",64020496,1834,1017
142636,"2250 RIDGEPOINT DR, Austin, TX, ,","2250 RIDGEPOINT DR, AUSTIN, TX, 78754","-97.6767,30.329437",64020496,1834,1017
142637,"12001 METRIC BLVD, Austin, TX, ,","12001 METRIC BLVD, AUSTIN, TX, 78758","-97.70195,30.401983",641676321,1844,1001
142649,"700 SAN JACINTO BLVD, Austin, TX, ,","700 SAN JACINTO BLVD, AUSTIN, TX, 78701","-97.74001,30.268373",63946481,1100,1065
142650,"4410 E RIVERSIDE DR, Austin, TX, ,","4410 E RIVERSIDE DR, AUSTIN, TX, 78741","-97.72279,30.234077",641249025,2318,1006
142651,"807 MONTOPOLIS DR, Austin, TX, ,","807 MONTOPOLIS DR, AUSTIN, TX, 78741","-97.69625,30.236124",63949117,2312,1010
142652,"807 MONTOPOLIS DR, Austin, TX, ,","807 MONTOPOLIS DR, AUSTIN, TX, 78741","-97.69625,30.236124",63949117,2312,1010
142653,"208 W 4TH ST, Austin, TX, ,",,,,,
142654,"400 E 6TH ST, Austin, TX, ,",,,,,
142655,"1700 BURTON DR, Austin, TX, ,","1700 BURTON DR, AUSTIN, TX, 78741","-97.727615,30.237448",63948686,2316,1002
142656,"1700 BURTON DR, Austin, TX, ,","1700 BURTON DR, AUSTIN, TX, 78741","-97.727615,30.237448",63948686,2316,1002
142657,"400 BLOCK E 6TH ST, Austin, TX, ,","400 E 6TH ST, AUSTIN, TX, 78701","-97.73924,30.26705",63946502,1100,1096
142658,"1900 E 12TH ST, Austin, TX, ,","1900 E 12TH ST, AUSTIN, TX, 78702","-97.719826,30.273802",63946992,803,2016
142668,"12001 METRIC BLVD, Austin, TX, ,","12001 METRIC BLVD, AUSTIN, TX, 78758","-97.70195,30.401983",641676321,1844,1001
142669,"2250 RIDGEPOINT DR, Austin, TX, ,","2250 RIDGEPOINT DR, AUSTIN, TX, 78754","-97.6767,30.329437",64020496,1834,1017
142690,"W 24TH ST / SAN ANTONIO ST, Austin, TX, ,",,,,,
142691,"400 BLOCK E 6TH ST, Austin, TX, ,","400 E 6TH ST, AUSTIN, TX, 78701","-97.73924,30.26705",63946502,1100,1096
142692,"400 BLOCK E 6TH ST, Austin, TX, ,","400 E 6TH ST, AUSTIN, TX, 78701","-97.73924,30.26705",63946502,1100,1096
142693,"400 BLOCK E 6TH ST, Austin, TX, ,","400 E 6TH ST, AUSTIN, TX, 78701","-97.73924,30.26705",63946502,1100,1096
142708,"9401 N IH 35 SVRD NB, Austin, TX, ,",,,,,
142728,"4313 ACROPOLIS CT, Austin, TX, ,","4313 ACROPOLIS CT, AUSTIN, TX, 78759","-97.730255,30.412758",63926623,1745,2008
142729,"7100 BLOCK N IH 35 SVRD SB, Austin, TX, ,",,,,,
142730,"8800 BLOCK GEORGIAN DR, Austin, TX, ,","8800 GEORGIAN DR, AUSTIN, TX, 78753","-97.69816,30.354046",63932242,1806,2003
142748,"8800 BLOCK GEORGIAN DR, Austin, TX, ,","8800 GEORGIAN DR, AUSTIN, TX, 78753","-97.69816,30.354046",63932242,1806,2003
142749,"7114 N IH 35 SVRD SB, Austin, TX, ,",,,,,
142750,"8800 BLOCK GEORGIAN DR, Austin, TX, ,","8800 GEORGIAN DR, AUSTIN, TX, 78753","-97.69816,30.354046",63932242,1806,2003
142768,"7114 N IH 35 SVRD SB, Austin, TX, ,",,,,,
142769,"8800 BLOCK GEORGIAN DR, Austin, TX, ,","8800 GEORGIAN DR, AUSTIN, TX, 78753","-97.69816,30.354046",63932242,1806,2003
142788,"3600 S IH 35 SVRD SB, Austin, TX, ,",,,,,
142808,"10051 WOODLAND VILLAGE DR, Austin, TX, ,","10051 WOODLAND VILLAGE DR, AUSTIN, TX, 78750","-97.796616,30.450996",126431586,20405,4001
142809,"10051 WOODLAND VILLAGE DR, Austin, TX, ,","10051 WOODLAND VILLAGE DR, AUSTIN, TX, 78750","-97.796616,30.450996",126431586,20405,4001
142810,"1708 GODDARD BLUFF DR, Austin, TX, ,","1708 GODDARD BLUFF DR, AUSTIN, TX, 78754","-97.65519,30.375317",64108613,1834,2017
142811,"1708 GODDARD BLUFF DR, Austin, TX, ,","1708 GODDARD BLUFF DR, AUSTIN, TX, 78754","-97.65519,30.375317",64108613,1834,2017
142828,"9616 N LAMAR BLVD, Austin, TX, ,",,,,,
142848,"1030 NORWOOD PARK BLVD, Austin, TX, ,","1030 NORWOOD PARK BLVD, AUSTIN, TX, 78753","-97.69347,30.339966",64123786,1813,2022
142849,"1030 NORWOOD PARK BLVD, Austin, TX, ,","1030 NORWOOD PARK BLVD, AUSTIN, TX, 78753","-97.69347,30.339966",64123786,1813,2022
142850,"1030 NORWOOD PARK BLVD, Austin, TX, ,","1030 NORWOOD PARK BLVD, AUSTIN, TX, 78753","-97.69347,30.339966",64123786,1813,2022
142851,"AIRPORT BLVD / ALDRICH ST, Austin, TX, ,",,,,,
142852,"2501 ANKEN DR, Austin, TX, ,","2501 ANKEN DR, AUSTIN, TX, 78741","-97.72983,30.231321",232053317,2316,2003
142853,"300 BLOCK E 6TH ST, Austin, TX, ,","300 E 6TH ST, AUSTIN, TX, 78701","-97.74029,30.267374",63946490,1100,1095
142854,"2501 ANKEN DR, Austin, TX, ,","2501 ANKEN DR, AUSTIN, TX, 78741","-97.72983,30.231321",232053317,2316,2003
142855,"2501 ANKEN DR, Austin, TX, ,","2501 ANKEN DR, AUSTIN, TX, 78741","-97.72983,30.231321",232053317,2316,2003
142856,"2316 CORTA ST, Austin, TX, ,","2316 CORTA ST, AUSTIN, TX, 78702","-97.71771,30.256489",63998604,902,3014
142857,"12800 CENTER LAKE DR, Austin, TX, ,","12800 CENTER LAKE DR, AUSTIN, TX, 78753","-97.66839,30.406502",637850271,1839,1006
142858,"12900 N IH 35 SVRD SB, Austin, TX, ,",,,,,
142859,"BELMOOR DR / DEXMOOR DR, Austin, TX, ,",,,,,
142868,"1206 LAWRENCE ST, Austin, TX, ,","1206 LAWRENCE ST, AUSTIN, TX, 78741","-97.69319,30.229322",63949307,2312,2007
142869,"1206 LAWRENCE ST, Austin, TX, ,","1206 LAWRENCE ST, AUSTIN, TX, 78741","-97.69319,30.229322",63949307,2312,2007
142870,"2011 E 11TH ST, Austin, TX, ,","2011 E 11TH ST, AUSTIN, TX, 78702","-97.71908,30.265554",63947206,901,1005
142871,"2011 E 11TH ST, Austin, TX, ,","2011 E 11TH ST, AUSTIN, TX, 78702","-97.71908,30.265554",63947206,901,1005
142872,"1124 RUTLAND DR, Austin, TX, ,","1124 RUTLAND DR, AUSTIN, TX, 78758","-97.702675,30.36794",63930566,1822,4002
142873,"9616 N LAMAR BLVD, Austin, TX, ,",,,,,
142888,"600 NECHES ST, Austin, TX, ,","600 NECHES ST, AUSTIN, TX, 78701","-97.73823,30.266857",63946499,1100,1096
142908,"1300 HARVEY ST, Austin, TX, ,",,,,,
142909,"W 5TH ST / N LAMAR BLVD SVRD SB, Austin, TX, ,",,,,,
142910,"300 BLOCK E 6TH ST, Austin, TX, ,","300 E 6TH ST, AUSTIN, TX, 78701","-97.74029,30.267374",63946490,1100,1095
142911,"1000 W RUNDBERG LN, Austin, TX, ,",,,,,
142928,"1000 W RUNDBERG LN, Austin, TX, ,",,,,,
142948,"512 SAN JACINTO BLVD, Austin, TX, ,","512 SAN JACINTO BLVD, AUSTIN, TX, 78701","-97.74068,30.266615",63946489,1100,1093
142968,"6607 SANTOS ST, Austin, TX, ,","6607 SANTOS ST, AUSTIN, TX, 78741","-97.69828,30.227434",64015096,2312,2008
142988,"2316 CORTA ST, Austin, TX, ,","2316 CORTA ST, AUSTIN, TX, 78702","-97.71771,30.256489",63998604,902,3014
142989,"10105 WILLFIELD DR, Austin, TX, ,","10105 WILLFIELD DR, AUSTIN, TX, 78753","-97.671425,30.36019",63934764,1833,3022
142990,"8200 N IH 35 SVRD SB, Austin, TX, ,",,,,,
142991,"E 6TH ST / BRAZOS ST, Austin, TX, ,",,,,,
142992,"601 W BEN WHITE BLVD EB, Austin, TX, ,",,,,,
142993,"12501 TECH RIDGE BLVD, Austin, TX, ,","12501 TECH RIDGE BLVD, AUSTIN, TX, 78753","-97.65827,30.40091",641663370,1839,2014
142994,"10105 WILLFIELD DR, Austin, TX, ,","10105 WILLFIELD DR, AUSTIN, TX, 78753","-97.671425,30.36019",63934764,1833,3022
142995,"6407 SPRINGDALE RD, Austin, TX, ,","6407 SPRINGDALE RD, AUSTIN, TX, 78723","-97.669624,30.307379",63951401,2108,1000
142996,"500 TRINITY ST, Austin, TX, ,","500 TRINITY ST, AUSTIN, TX, 78701","-97.739655,30.266209",63946501,1100,1106
142997,"500 TRINITY ST, Austin, TX, ,","500 TRINITY ST, AUSTIN, TX, 78701","-97.739655,30.266209",63946501,1100,1106
142998,"2101 S L DAVIS AVE, Austin, TX, ,",,,,,
142999,"935 LA POSADA DR, Austin, TX, ,","935 LA POSADA DR, AUSTIN, TX, 78752","-97.70484,30.32575",64047006,1812,1009
143000,"2101 S L DAVIS AVE, Austin, TX, ,","2101 S L DAVIS AVE, AUSTIN, TX, 78702","-97.71723,30.271051",63947217,804,1014
143001,"2101 S L DAVIS AVE, Austin, TX, ,","2101 S L DAVIS AVE, AUSTIN, TX, 78702","-97.71723,30.271051",63947217,804,1014
143002,"417 E 6TH ST, Austin, TX, ,",,,,,
143003,"4601 N LAMAR BLVD, Austin, TX, ,","4601 N LAMAR BLVD, AUSTIN, TX, 78756","-97.73599,30.315235",624841461,203,1009
143004,"4601 N LAMAR BLVD, Austin, TX, ,","4601 N LAMAR BLVD, AUSTIN, TX, 78756","-97.73599,30.315235",624841461,203,1009
143008,"8200 N IH 35 SVRD SB, Austin, TX, ,",,,,,
143028,"AIRPORT BLVD / ALDRICH ST, Austin, TX, ,",,,,,
143030,"601 W BEN WHITE BLVD EB, Austin, TX, ,",,,,,
143031,"4405 DOVEWOOD DR, Austin, TX, ,","4405 DOVEWOOD DR, AUSTIN, TX, 78744","-97.751625,30.188463",63974487,2412,3022
143032,"7100 N IH 35 SVRD SB, Austin, TX, ,",,,,,
143033,"935 LA POSADA DR, Austin, TX, ,","935 LA POSADA DR, AUSTIN, TX, 78752","-97.70484,30.32575",64047006,1812,1009
143034,"700 LAVACA ST, Austin, TX, ,","700 LAVACA ST, AUSTIN, TX, 78701","-97.74483,30.269732",63943417,1100,1071
143035,"700 LAVACA ST, Austin, TX, ,","700 LAVACA ST, AUSTIN, TX, 78701","-97.74483,30.269732",63943417,1100,1071
143036,"6500 ED BLUESTEIN BLVD SB, Austin, TX, ,","6500 ED BLUESTEIN BLVD, AUSTIN, TX, 78723","-97.6611,30.302723",64019295,2108,2002
143037,"5605 SAMUEL HUSTON AVE, Austin, TX, ,","5605 SAMUEL HUSTON AVE, AUSTIN, TX, 78721","-97.67477,30.279812",63951726,2110,1003
143038,"4311 SPRINGDALE RD, Austin, TX, ,","4311 SPRINGDALE RD, AUSTIN, TX, 78723","-97.68239,30.286228",63951328,2108,1004
143039,"108 W GRADY DR, Austin, TX, ,",,,,,
143041,"11215 RESEARCH BLVD SVRD NB, Austin, TX, ,","11215 RESEARCH BLVD, AUSTIN, TX, 78759","-97.74471,30.408695",63986962,1754,1002
143042,"1119 W 9TH ST, Austin, TX, ,",,,,,
143048,"4405 DOVEWOOD DR, Austin, TX, ,","4405 DOVEWOOD DR, AUSTIN, TX, 78744","-97.751625,30.188463",63974487,2412,3022
143049,"400 BLOCK E 6TH ST, Austin, TX, ,","400 E 6TH ST, AUSTIN, TX, 78701","-97.73924,30.26705",63946502,1100,1096
143050,"601 W BEN WHITE BLVD EB, Austin, TX, ,",,,,,
143051,"6103 MANOR RD, Austin, TX, ,",,,,,
143052,"1711 E CESAR CHAVEZ ST, Austin, TX, ,",,,,,
143053,"6103 MANOR RD, Austin, TX, ,",,,,,
143054,"7100 N IH 35 SVRD SB, Austin, TX, ,",,,,,
143055,"7100 N IH 35 SVRD SB, Austin, TX, ,",,,,,
143056,"6711 N IH 35 SVRD NB, Austin, TX, ,",,,,,
143057,"8400 JAMESTOWN DR, Austin, TX, ,","8400 JAMESTOWN DR, AUSTIN, TX, 78758","-97.71282,30.355335",63982403,1805,1006
143058,"13301 N US 183 HWY SVRD NB, Austin, TX, ,",,,,,
143068,"935 LA POSADA DR, Austin, TX, ,","935 LA POSADA DR, AUSTIN, TX, 78752","-97.70484,30.32575",64047006,1812,1009
143088,"108 W GRADY DR, Austin, TX, ,",,,,,
143089,"108 W GRADY DR, Austin, TX, ,",,,,,
143090,"108 W GRADY DR, Austin, TX, ,",,,,,
143108,"108 W GRADY DR, Austin, TX, ,",,,,,
143109,"8617 SPICEWOOD SPRINGS RD, Austin, TX, ,","8617 SPICEWOOD SPRINGS RD, AUSTIN, TX, 78750","-97.77332,30.433088",126446039,20405,4014
143110,"E 6TH ST / SAN JACINTO BLVD, Austin, TX, ,",,,,,
143111,"E 7TH ST / TRINITY ST, Austin, TX, ,",,,,,
143128,"7006 KILDARE CV, Austin, TX, ,","7006 KILDARE COVE, AUSTIN, TX, 78724","-97.642395,30.298494",63951912,2202,1016
143129,"2700 BLOCK E 7TH ST, Austin, TX, ,","2700 E 7TH ST, AUSTIN, TX, 78702","-97.71155,30.260609",64016929,902,1009
143149,"10202 BROWNIE DR, Austin, TX, ,","10202 BROWNIE DR, AUSTIN, TX, 78753","-97.6848,30.366924",63934246,1823,1006
143168,"2400 WICKERSHAM LN, Austin, TX, ,","2400 WICKERSHAM LN, AUSTIN, TX, 78741","-97.72335,30.226196",608679386,2314,4004
143169,"11350 FOUR POINTS DR, Austin, TX, ,","11350 FOUR POINTS DR, AUSTIN, TX, 78726","-97.84633,30.40335",641746500,1714,1042
143171,"10202 BROWNIE DR, Austin, TX, ,","10202 BROWNIE DR, AUSTIN, TX, 78753","-97.6848,30.366924",63934246,1823,1006
143173,"1800 BURTON DR, Austin, TX, ,","1800 BURTON DR, AUSTIN, TX, 78741","-97.72862,30.235802",63948513,2315,1001
143174,"1624 RUTLAND DR, Austin, TX, ,","1624 RUTLAND DR, AUSTIN, TX, 78758","-97.710976,30.371918",641895165,1821,1004
143188,"11350 FOUR POINTS DR, Austin, TX, ,","11350 FOUR POINTS DR, AUSTIN, TX, 78726","-97.84633,30.40335",641746500,1714,1042
143208,"7006 KILDARE CV, Austin, TX, ,","7006 KILDARE COVE, AUSTIN, TX, 78724","-97.642395,30.298494",63951912,2202,1016
143228,"2400 WICKERSHAM LN, Austin, TX, ,","2400 WICKERSHAM LN, AUSTIN, TX, 78741","-97.72335,30.226196",608679386,2314,4004
143229,"2400 WICKERSHAM LN, Austin, TX, ,","2400 WICKERSHAM LN, AUSTIN, TX, 78741","-97.72335,30.226196",608679386,2314,4004
143230,"5500 E 51ST ST, Austin, TX, ,",,,,,
143248,"5500 E 51ST ST, Austin, TX, ,",,,,,
